Documento 0
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 bottling 	 [1] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 2012 	 [2] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 rough 	 [3] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 tannic 	 [4] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 rustic 	 [5] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 earthy 	 [6] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 herbal 	 [7] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 characteristics 	 [8] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 a 	 [9, 14, 17] 	 0.14285714285714285 	 0.5228787452803376 	 0.0746969636114768
	 pleasantly 	 [10] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 unfussy 	 [11] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 country 	 [12] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 wine 	 [13] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 good 	 [15] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 companion 	 [16] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 hearty 	 [18] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 winter 	 [19] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 stew 	 [20] 	 0.047619047619047616 	 1.0 	 0.047619047619047616


Documento 5
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 blackberry 	 [0] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 raspberry 	 [1] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 aromas 	 [2] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 show 	 [3] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 a 	 [4] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 typical 	 [5] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 navarran 	 [6] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 whiff 	 [7] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 green 	 [8] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 herbs 	 [9] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 case 	 [10] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 horseradish 	 [11] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 mouth 	 [12] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 full 	 [13] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 bodied 	 [14] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 tomatoey 	 [15] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 acidity 	 [16] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 spicy 	 [17] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 herbal 	 [18] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 flavors 	 [19] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 complement 	 [20] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 dark 	 [21] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 plum 	 [22] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
