Documento 0
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 oily		[28]		1.0	1.30103	1.30103
	 short		[30]		1.0	1.30103	1.30103
	 chardonnay		[32]		1.0	1.30103	1.30103
	 fill		[33]		1.0	1.30103	1.30103
	 bear		[10]		1.0	1.0	1.0
	 grass		[19]		1.0	1.0	1.0
	 plump		[27]		1.0	1.0	1.0
	 white		[0]		1.0	0.82391	0.82391
	 blend		[34]		1.0	0.82391	0.82391
	 sweet		[12]		1.0	0.69897	0.69897
	 aromas		[4]		1.0	0.60206	0.60206
	 palate		[9]		1.0	0.60206	0.60206
	 finish		[31]		1.0	0.60206	0.60206
	 note		[18]		1.0	0.45593	0.45593
	 flavors		[13]		1.0	0.39794	0.39794
	 a		[29]		1.0	0.1549	0.1549


Documento 7
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 concentrate		[0]		1.0	1.30103	1.30103
	 cure		[4]		1.0	1.30103	1.30103
	 dried		[6]		1.0	1.30103	1.30103
	 rosemary		[8]		1.0	1.30103	1.30103
	 barbecue		[9]		1.0	1.30103	1.30103
	 spice		[10]		1.0	1.30103	1.30103
	 teriyaki		[11]		1.0	1.30103	1.30103
	 bold		[17]		1.0	1.30103	1.30103
	 chewy		[18]		1.0	1.30103	1.30103
	 feel		[19]		1.0	1.30103	1.30103
	 cabernet		[1]		1.0	1.0	1.0
	 offer		[2]		1.0	1.0	1.0
	 meat		[5]		1.0	1.0	1.0
	 sauce		[12]		1.0	1.0	1.0
	 give		[14]		1.0	0.82391	0.82391
	 aromas		[3]		1.0	0.60206	0.60206
	 flavors		[13]		1.0	0.39794	0.39794
	 fruit		[7]		1.0	0.30103	0.30103
	 wine		[15]		1.0	0.25964	0.25964
	 a		[16]		1.0	0.1549	0.1549


Documento 8
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 inky		[0]		1.0	1.30103	1.30103
	 color		[1]		1.0	1.30103	1.30103
	 blackberry		[7]		1.0	1.30103	1.30103
	 jam		[8]		1.0	1.30103	1.30103
	 rum		[9]		1.0	1.30103	1.30103
	 cake		[10]		1.0	1.30103	1.30103
	 smooth		[13]		1.0	1.30103	1.30103
	 plump		[3]		1.0	1.0	1.0
	 soft		[12]		1.0	0.82391	0.82391
	 ripe		[5]		1.0	0.69897	0.69897
	 aromas		[4]		1.0	0.60206	0.60206
	 palate		[11]		1.0	0.60206	0.60206
	 fruit		[6]		1.0	0.30103	0.30103
	 wine		[2]		1.0	0.25964	0.25964


Documento 9
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 natural		[1]		1.0	1.30103	1.30103
	 movement		[3]		1.0	1.30103	1.30103
	 organic		[5]		1.0	1.30103	1.30103
	 grapes		[6]		1.0	1.30103	1.30103
	 label		[7]		1.0	1.30103	1.30103
	 print		[8]		1.0	1.30103	1.30103
	 vegetable		[9]		1.0	1.30103	1.30103
